GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
smartsprites,org.carrot2.util,ColorQuantizer.ColorReductionInfo,0,20,0,4,0,5,0,4,0,2
smartsprites,org.carrot2.util,PathUtils,19,224,10,44,6,44,9,20,0,2
smartsprites,org.carrot2.util,FileUtils,23,106,4,18,5,32,4,13,0,6
smartsprites,org.carrot2.util,EnumUtils,0,12,0,2,0,5,0,2,0,1
smartsprites,org.carrot2.util,CollectionUtils,0,35,0,2,0,7,0,2,0,1
smartsprites,org.carrot2.util,ColorQuantizer,5,201,1,15,1,35,1,12,0,5
smartsprites,org.carrot2.util,StringUtils,0,18,0,6,0,2,0,5,0,2
smartsprites,org.carrot2.util,BufferedImageUtils,2,301,3,31,1,56,3,22,0,8
smartsprites,org.carrot2.labs.smartsprites.ant,SmartSpritesTask.AntLogMessageSink,20,0,2,0,4,0,3,0,2,0
smartsprites,org.carrot2.labs.smartsprites.ant,SmartSpritesTask,167,0,6,0,42,0,16,0,13,0
smartsprites,org.carrot2.labs.smartsprites.ant,SmartSpritesTask.FailureDetectorMessageSink,36,0,6,0,7,0,5,0,2,0
smartsprites,org.carrot2.labs.smartsprites.message,MessageLog,0,85,0,2,0,25,0,11,0,10
smartsprites,org.carrot2.labs.smartsprites.message,Message.MessageLevel.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
smartsprites,org.carrot2.labs.smartsprites.message,LevelCounterMessageSink,0,38,0,4,0,10,0,6,0,4
smartsprites,org.carrot2.labs.smartsprites.message,MemoryMessageSink,0,14,0,0,0,4,0,2,0,2
smartsprites,org.carrot2.labs.smartsprites.message,PrintStreamMessageSink,0,27,0,2,0,9,0,4,0,3
smartsprites,org.carrot2.labs.smartsprites.message,Message,0,101,0,2,0,22,0,6,0,5
smartsprites,org.carrot2.labs.smartsprites.message,Message.MessageLevel,0,50,0,0,0,10,0,2,0,2
smartsprites,org.carrot2.labs.smartsprites.message,Message.MessageType,0,417,0,0,0,66,0,3,0,3
smartsprites,org.carrot2.labs.smartsprites,SmartSprites,29,43,0,2,6,16,1,3,1,2
smartsprites,org.carrot2.labs.smartsprites,SpriteImageBuilder,86,745,13,63,11,146,10,40,0,12
smartsprites,org.carrot2.labs.smartsprites,SmartSpritesParameters.PngDepth,0,21,0,0,0,4,0,1,0,1
smartsprites,org.carrot2.labs.smartsprites,SpriteBuilder,9,657,5,55,2,150,5,35,0,10
smartsprites,org.carrot2.labs.smartsprites,SmartSpritesParameters,11,270,3,41,1,67,4,39,1,20
smartsprites,org.carrot2.labs.smartsprites,SpriteReferenceOccurrence,0,325,0,36,0,49,0,23,0,5
smartsprites,org.carrot2.labs.smartsprites,SpriteDirectiveOccurrenceCollector,22,372,5,29,6,91,5,23,0,11
smartsprites,org.carrot2.labs.smartsprites,SpriteImageDirective,0,335,2,26,0,70,2,17,0,5
smartsprites,org.carrot2.labs.smartsprites,SpriteImageOccurrence,0,8,0,0,0,3,0,1,0,1
smartsprites,org.carrot2.labs.smartsprites,SpriteImageDirective.SpriteImageFormat,0,55,0,0,0,11,0,5,0,5
smartsprites,org.carrot2.labs.smartsprites,SpriteImage,0,112,2,8,0,25,2,7,0,4
smartsprites,org.carrot2.labs.smartsprites,SpriteDirectiveOccurrence,0,9,0,0,0,4,0,1,0,1
smartsprites,org.carrot2.labs.smartsprites,SpriteImageBuilder.BufferedImageEqualsWrapper,9,153,9,21,3,25,9,10,0,4
smartsprites,org.carrot2.labs.smartsprites,SpriteReferenceReplacement,0,38,0,0,0,14,0,2,0,2
smartsprites,org.carrot2.labs.smartsprites,SpriteImageDirective.SpriteUidType,0,57,0,0,0,11,0,4,0,4
smartsprites,org.carrot2.labs.smartsprites,SpriteReferenceDirective,0,90,0,6,0,21,0,6,0,3
smartsprites,org.carrot2.labs.smartsprites,SpriteLayoutProperties,0,232,0,20,0,52,0,18,0,8
smartsprites,org.carrot2.labs.smartsprites,SpriteLayoutProperties.SpriteAlignment,0,73,0,0,0,14,0,5,0,5
smartsprites,org.carrot2.labs.smartsprites,SpriteImageBuilder.BufferedImageTranscoder,0,14,0,0,0,4,0,3,0,3
smartsprites,org.carrot2.labs.smartsprites,SpriteImageRenderer,2,193,2,30,0,35,2,17,0,3
smartsprites,org.carrot2.labs.smartsprites,SpriteImageDirective.SpriteImageLayout,0,44,0,0,0,9,0,4,0,4
smartsprites,org.carrot2.labs.smartsprites.resource,FileSystemResourceHandler,23,90,1,7,5,17,1,9,0,6
smartsprites,amd,Quantize.Cube.Search,0,3,0,0,0,1,0,1,0,1
smartsprites,amd,Quantize.Cube.Node,200,309,22,26,42,50,15,18,4,5
smartsprites,amd,Quantize,0,52,0,4,0,12,0,4,0,2
smartsprites,amd,Quantize.Cube,29,326,5,33,7,64,5,18,0,4
smartsprites,org.carrot2.labs.smartsprites.css,CssSyntaxUtils,1,222,4,26,0,48,4,20,0,9
smartsprites,org.carrot2.labs.smartsprites.css,CssProperty,0,18,0,0,0,7,0,2,0,2
